source_package,benchmark,memory_system,scope,model_label,model,s,s_label,dataset_name,task_id,question_type,trial,retrieval_calls,retrieved_sessions,react_steps,success,f1,llm_judge,response_duration_ms,search_duration_ms,total_duration_ms,context_tokens,total_cost_usd,context_ok,source_trace_file,pass_at_b1,budget_exhaustion_b1,wrong_within_budget_b1,failure_mode_b1,pass_at_b2,budget_exhaustion_b2,wrong_within_budget_b2,failure_mode_b2,pass_at_b3,budget_exhaustion_b3,wrong_within_budget_b3,failure_mode_b3,pass_at_b4,budget_exhaustion_b4,wrong_within_budget_b4,failure_mode_b4,pass_at_b5,budget_exhaustion_b5,wrong_within_budget_b5,failure_mode_b5,pass_at_b6,budget_exhaustion_b6,wrong_within_budget_b6,failure_mode_b6
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0084,f523d9fe,single-session-assistant,1,1,0,3,1,0.093023,1,9897.278,10556.348,20453.626,2127,0.000346,1,qwen235b_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0085,f523d9fe,single-session-assistant,1,1,0,3,1,0.093023,1,12580.534,10236.507,22817.041,2127,0.000307,1,qwen235b_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0145,f523d9fe,single-session-assistant,1,1,0,3,1,0.097561,1,9340.955,10038.159,19379.114,2132,0.000349,1,qwen235b_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0189,f523d9fe,single-session-assistant,1,1,0,3,1,0.097561,1,9589.957,10328.72,19918.677,2123,0.000343,1,qwen235b_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0298,f523d9fe,single-session-assistant,1,1,0,4,0,0.0,0,12330.093,10097.235,22427.328,1909,0.000357,1,qwen235b_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0307,f523d9fe,single-session-assistant,1,1,0,3,1,0.093023,1,11930.983,8367.655,20298.638,2127,0.000229,1,qwen235b_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_10_a0472,f523d9fe,single-session-assistant,1,1,0,3,1,0.093023,1,9935.239,8797.241,18732.48,2137,0.000343,1,qwen235b_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_11_a0006,0e5e2d1a,single-session-assistant,1,1,0,2,0,0.027397,0,8315.382,8583.889,16899.271,1709,0.000324,1,qwen235b_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_11_a0151,0e5e2d1a,single-session-assistant,1,1,0,2,0,0.028986,0,9646.068,8286.594,17932.662,1698,0.000359,1,qwen235b_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_11_a0325,0e5e2d1a,single-session-assistant,1,1,0,2,0,0.027027,0,7519.944,6359.68,13879.624,1709,0.000269,1,qwen235b_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_11_a0398,0e5e2d1a,single-session-assistant,1,1,0,2,0,0.027778,0,7204.826,8090.096,15294.922,1708,0.000354,1,qwen235b_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
qwen_openclaw_longmemeval,LongMemEval,OpenClaw,additional_interface_coverage,Qwen 235B,qwen3-235b-a22b-instruct-2507,0,s0,s0/longmem_ssa/lm_11_a0449,0e5e2d1a,single-session-assistant,1,1,0,2,0,0.026667,0,7445.017,7919.348,15364.365,1716,0.00036,1,qwen235b_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
