memory_system,model,model_label,scale,s,s_label,key,question_id,question_type,question_type_short,success,retrieval_calls,pass_at_b2,p_budget_exhausted,p_wrong_within_budget,api_calls,prompt_tokens,completion_tokens,total_tokens,stopped_by
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:001be529,001be529,,unknown,False,1,False,False,True,1,3614,36,3650,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:00ca467f,00ca467f,,unknown,False,1,False,False,True,1,10793,93,10886,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0100672e,0100672e,,unknown,False,1,False,False,True,1,6649,21,6670,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:01493427,01493427,,unknown,True,1,True,False,False,1,6904,26,6930,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:031748ae,031748ae,,unknown,True,1,True,False,False,1,5683,41,5724,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:031748ae_abs,031748ae_abs,,unknown,False,1,False,False,True,1,5669,17,5686,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:06878be2,06878be2,,unknown,False,2,False,False,True,2,10045,408,10453,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:06db6396,06db6396,,unknown,True,1,True,False,False,1,7458,19,7477,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:06f04340,06f04340,,unknown,False,1,False,False,True,1,4437,133,4570,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:07741c44,07741c44,,unknown,False,1,False,False,True,1,6033,22,6055,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:07741c45,07741c45,,unknown,True,1,True,False,False,1,6033,22,6055,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:078150f1,078150f1,,unknown,True,1,True,False,False,1,7286,52,7338,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:07b6f563,07b6f563,,unknown,False,1,False,False,True,1,4447,99,4546,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0862e8bf,0862e8bf,,unknown,True,1,True,False,False,1,3264,16,3280,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0862e8bf_abs,0862e8bf_abs,,unknown,True,1,True,False,False,1,3267,47,3314,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:08e075c7,08e075c7,,unknown,True,1,True,False,False,1,6600,23,6623,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:08f4fc43,08f4fc43,,unknown,False,1,False,False,True,1,6842,53,6895,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0977f2af,0977f2af,,unknown,True,1,True,False,False,1,6302,26,6328,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:099778bb,099778bb,,unknown,True,1,True,False,False,1,6403,10,6413,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:09ba9854,09ba9854,,unknown,False,1,False,False,True,1,5591,215,5806,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:09ba9854_abs,09ba9854_abs,,unknown,False,1,False,False,True,1,5593,89,5682,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:09d032c9,09d032c9,,unknown,False,1,False,False,True,1,6554,94,6648,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0a34ad58,0a34ad58,,unknown,False,1,False,False,True,1,5704,139,5843,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0a995998,0a995998,,unknown,False,1,False,False,True,1,8680,81,8761,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0bb5a684,0bb5a684,,unknown,True,1,True,False,False,1,7813,53,7866,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0bc8ad92,0bc8ad92,,unknown,False,1,False,False,True,1,8999,119,9118,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0bc8ad93,0bc8ad93,,unknown,False,1,False,False,True,1,9369,63,9432,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0db4c65d,0db4c65d,,unknown,False,6,False,True,False,6,45704,259,45963,budget
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0ddfec37,0ddfec37,,unknown,True,1,True,False,False,1,5923,29,5952,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0ddfec37_abs,0ddfec37_abs,,unknown,True,1,True,False,False,1,5923,27,5950,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0e4e4c46,0e4e4c46,,unknown,True,1,True,False,False,1,7040,23,7063,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0e5e2d1a,0e5e2d1a,,unknown,True,1,True,False,False,1,1099,36,1135,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0ea62687,0ea62687,,unknown,False,1,False,False,True,1,6541,63,6604,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0edc2aef,0edc2aef,,unknown,False,1,False,False,True,1,4236,83,4319,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:0f05491a,0f05491a,,unknown,True,1,True,False,False,1,4435,27,4462,model
