model_label,run_name,group,rows,recorded_total_cost_usd_sum,recorded_total_cost_usd_mean,eval_total_cost_usd_sum,tracked_non_eval_cost_usd_sum,qa_chat_prompt_tokens_sum,qa_chat_completion_tokens_sum,qa_chat_calls_sum,eval_prompt_tokens_sum,eval_completion_tokens_sum,eval_calls_sum,cost_observability_note
Qwen 8B,qwen8b,s0,200,0.061053,0.000305265,0.061053,0.0,491355,25625,373,288648,29603,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 8B,qwen8b,s100,200,0.060755,0.000303775,0.060755,0.0,511244,26005,371,290013,28773,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 8B,qwen8b,s200,200,0.060748,0.00030374,0.060748,0.0,500840,26716,372,292953,28009,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 8B,qwen8b,s300,200,0.06254,0.0003127,0.06254,0.0,492100,27322,366,294174,30694,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 8B,qwen8b,s400,200,0.06182,0.0003091,0.06182,0.0,500524,28103,370,297015,28783,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 32B,qwen32b,s0,200,0.058527,0.000292635,0.058527,0.0,653907,26190,428,280623,27394,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 32B,qwen32b,s100,200,0.060199,0.000300995,0.060199,0.0,691351,28033,430,285213,29021,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 32B,qwen32b,s200,200,0.059664,0.00029832,0.059664,0.0,732919,28286,442,286302,27863,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 32B,qwen32b,s300,200,0.058967,0.000294835,0.058967,0.0,726836,27684,435,283911,27303,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 32B,qwen32b,s400,200,0.060742,0.00030371,0.060742,0.0,689259,27012,426,283665,30320,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 235B,qwen235b,s0,200,0.060448,0.00030224,0.060448,0.0,1075312,34871,543,286935,29032,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 235B,qwen235b,s100,200,0.060851,0.000304255,0.060851,0.0,946768,34320,523,287481,29551,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 235B,qwen235b,s200,200,0.060231,0.000301155,0.060231,0.0,1145207,34411,543,286998,28655,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 235B,qwen235b,s300,200,0.060173,0.000300865,0.060173,0.0,1061021,33276,526,284736,29118,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 235B,qwen235b,s400,200,0.063671,0.000318355,0.063671,0.0,1072946,36998,553,292800,32922,600,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
