source_package,benchmark,memory_system,scope,model_label,source_trace_file,source_path,row_count,expected_row_count,coverage_ratio,run_status,s_counts_json,retrieval_distribution_json,note
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,qwen8b_trace_q1_full_patched.csv,qwen8b_trace_q1_full_patched.csv,10000,10000,1.0,complete,"{""0"": 2000, ""100"": 2000, ""200"": 2000, ""300"": 2000, ""400"": 2000}","{""0"": 446, ""1"": 5335, ""2"": 454, ""3"": 381, ""4"": 346, ""5"": 3038}",Patched steps=6 Qwen LongMemEval package.; Patched per-model full traces are authoritative.
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,qwen32b_trace_q1_full_patched.csv,qwen32b_trace_q1_full_patched.csv,10000,10000,1.0,complete,"{""0"": 2000, ""100"": 2000, ""200"": 2000, ""300"": 2000, ""400"": 2000}","{""1"": 8314, ""2"": 125, ""3"": 291, ""4"": 387, ""5"": 883}",Patched steps=6 Qwen LongMemEval package.; Patched per-model full traces are authoritative.
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,qwen235b_trace_q1_full_patched.csv,qwen235b_trace_q1_full_patched.csv,10000,10000,1.0,complete,"{""0"": 2000, ""100"": 2000, ""200"": 2000, ""300"": 2000, ""400"": 2000}","{""0"": 69, ""1"": 8804, ""2"": 906, ""3"": 213, ""4"": 7, ""5"": 1}",Patched steps=6 Qwen LongMemEval package.; Patched per-model full traces are authoritative.
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,qwen8b_trace_q1_full.csv,qwen8b_trace_q1_full.csv,10000,10000,1.0,complete,"{""0"": 2000, ""100"": 2000, ""200"": 2000, ""300"": 2000, ""400"": 2000}","{""1"": 10000}",Native HippoRAG single-pass runs.; Per-model traces are authoritative; combined trace is convenience only.
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,qwen32b_trace_q1_full.csv,qwen32b_trace_q1_full.csv,10000,10000,1.0,complete,"{""0"": 2000, ""100"": 2000, ""200"": 2000, ""300"": 2000, ""400"": 2000}","{""1"": 10000}",Native HippoRAG single-pass runs.; Per-model traces are authoritative; combined trace is convenience only.
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,qwen235b_trace_q1_full.csv,qwen235b_trace_q1_full.csv,10000,10000,1.0,complete,"{""0"": 2000, ""100"": 2000, ""200"": 2000, ""300"": 2000, ""400"": 2000}","{""1"": 10000}",Native HippoRAG single-pass runs.; Per-model traces are authoritative; combined trace is convenience only.
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,qwen8b_trace_q1_full.csv,qwen8b_trace_q1_full.csv,1410,1410,1.0,complete,"{""0"": 282, ""100"": 282, ""200"": 282, ""300"": 282, ""400"": 282}","{""1"": 37, ""2"": 31, ""3"": 327, ""4"": 244, ""5"": 771}",GPT trace exists in this package but is excluded to keep the Qwen matrix aligned with HippoRAG.
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,qwen32b_trace_q1_full.csv,qwen32b_trace_q1_full.csv,1410,1410,1.0,complete,"{""0"": 282, ""100"": 282, ""200"": 282, ""300"": 282, ""400"": 282}","{""1"": 843, ""2"": 166, ""3"": 251, ""4"": 68, ""5"": 82}",GPT trace exists in this package but is excluded to keep the Qwen matrix aligned with HippoRAG.
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,qwen235b_trace_q1_full.csv,qwen235b_trace_q1_full.csv,1410,1410,1.0,complete,"{""0"": 282, ""100"": 282, ""200"": 282, ""300"": 282, ""400"": 282}","{""1"": 998, ""2"": 245, ""3"": 147, ""4"": 19, ""5"": 1}",GPT trace exists in this package but is excluded to keep the Qwen matrix aligned with HippoRAG.
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,qwen8b_trace_q1_full.csv,qwen8b_trace_q1_full.csv,1410,1410,1.0,complete,"{""0"": 282, ""100"": 282, ""200"": 282, ""300"": 282, ""400"": 282}","{""1"": 1410}",Native HippoRAG single-pass runs.; Per-model traces are authoritative; combined trace is convenience only.
