row_id,model_label,qwen_model_id,dataset_name,s,family,question_type_short,success,llm_judge,f1,retrieval_calls,react_steps,context_tokens,qwen_input_price_cny_per_1m,qwen_output_price_cny_per_1m,qwen_chat_prompt_tokens,qwen_chat_completion_tokens,qwen_chat_calls,qwen_chat_cost_cny,qwen_chat_cost_usd_report,q0_corpus_rows,q0_memory_files_indexed_est,q0_embedding_chunks_est,q0_embedding_prompt_tokens_est,q0_embedding_cost_usd_est,q1_query_embedding_prompt_tokens_est,q1_query_embedding_calls_est,q1_query_embedding_cost_usd_est,embedding_cost_usd_est,embedding_model,embedding_cost_basis,judge_model,judge_prompt_tokens,judge_completion_tokens,judge_calls,judge_cost_usd,total_cost_cny_report,total_cost_usd_report,original_runner_total_cost_usd,result_path,source_root
1,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0084,0,longmem_ssa,SSA,1,1,,1,2,1905,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,223,3,0.000343,0.004197737136,0.0006141711734066834,0.000343,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_remaining348_fixresume_20260423_v1
2,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0085,0,longmem_ssa,SSA,1,1,,1,2,1905,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,215,3,0.000338,0.004163563136,0.0006091711734066834,0.000338,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_remaining348_fixresume_20260423_v1
3,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0145,0,longmem_ssa,SSA,1,1,,1,2,1907,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,222,3,0.000342,0.004190902336,0.0006131711734066834,0.000342,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_remaining348_fixresume_20260423_v1
4,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0189,0,longmem_ssa,SSA,1,1,,1,2,1903,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,215,3,0.000338,0.004163563136,0.0006091711734066834,0.000338,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_remaining348_fixresume_20260423_v1
5,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0298,0,longmem_ssa,SSA,1,1,,1,2,1917,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,221,3,0.000342,0.004190902336,0.0006131711734066834,0.000342,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_remaining348_fixresume_20260423_v1
6,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0307,0,longmem_ssa,SSA,1,1,,1,2,1911,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,215,3,0.000338,0.004163563136,0.0006091711734066834,0.000338,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_remaining348_fixresume_20260423_v1
7,qwen8b,qwen3-8b,s0/longmem_ssa/lm_10_a0472,0,longmem_ssa,SSA,1,1,,1,2,1905,0.5,2.0,2821,111,2,0.0016325,0.00023885117340668343,1,2,6,1606,3.212e-05,10,1,2.0000000000000002e-07,3.2319999999999995e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1395,213,3,0.000337,0.0041567283360000006,0.0006081711734066833,0.000337,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_smoke5_20260422_v1
8,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0006,0,longmem_ssa,SSA,0,0,,1,2,1714,0.5,2.0,2668,141,2,0.001616,0.00023643705741206765,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1440,237,3,0.000358,0.004270089536,0.0006247570574120677,0.000358,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_smoke5_20260422_v1
9,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0151,0,longmem_ssa,SSA,0,0,,1,2,1713,0.5,2.0,2668,142,2,0.001618,0.00023672967753262715,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1443,214,3,0.000345,0.0041832371360000006,0.0006120496775326272,0.000345,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_smoke5_20260422_v1
10,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0325,0,longmem_ssa,SSA,0,0,,1,2,1714,0.5,2.0,2668,141,2,0.001616,0.00023643705741206765,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1440,247,3,0.000364,0.004311098336000001,0.0006307570574120676,0.000364,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_smoke5_20260422_v1
11,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0398,0,longmem_ssa,SSA,0,0,,1,2,1717,0.5,2.0,2668,142,2,0.001618,0.00023672967753262715,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1443,216,3,0.000346,0.004190071936,0.0006130496775326272,0.000346,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_smoke5_20260422_v1
12,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0449,0,longmem_ssa,SSA,0,0,,1,2,1704,0.5,2.0,2668,135,2,0.001604,0.0002346813366887107,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1422,210,3,0.000339,0.004128228336,0.0006040013366887107,0.000339,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
13,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0474,0,longmem_ssa,SSA,0,0,,1,2,1704,0.5,2.0,2668,135,2,0.001604,0.0002346813366887107,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1422,208,3,0.000338,0.0041213935360000006,0.0006030013366887107,0.000338,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
14,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0477,0,longmem_ssa,SSA,0,0,,1,2,1711,0.5,2.0,2668,142,2,0.001618,0.00023672967753262715,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1443,214,3,0.000345,0.0041832371360000006,0.0006120496775326272,0.000345,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
15,qwen8b,qwen3-8b,s0/longmem_ssa/lm_11_a0493,0,longmem_ssa,SSA,0,0,,1,2,1704,0.5,2.0,2668,135,2,0.001604,0.0002346813366887107,1,2,6,1495,2.9900000000000002e-05,21,1,4.2e-07,3.032e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1422,238,3,0.000356,0.004244419936000001,0.0006210013366887107,0.000356,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
16,qwen8b,qwen3-8b,s0/longmem_ssa/lm_12_a0357,0,longmem_ssa,SSA,1,1,,1,2,1916,0.5,2.0,2856,156,2,0.00174,0.000254579504886756,1,2,14,4061,8.122e-05,9,1,1.8e-07,8.14e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1479,255,3,0.000375,0.00485940272,0.000710979504886756,0.000375,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
17,qwen8b,qwen3-8b,s0/longmem_ssa/lm_13_a0083,0,longmem_ssa,SSA,1,1,,1,2,1827,0.5,2.0,2811,98,2,0.0016015,0.00023431556153801134,1,2,10,2887,5.774e-05,5,1,1.0000000000000001e-07,5.784e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1350,226,3,0.000338,0.004306987232,0.0006301555615380113,0.000338,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
18,qwen8b,qwen3-8b,s0/longmem_ssa/lm_13_a0130,0,longmem_ssa,SSA,1,1,,1,2,1823,0.5,2.0,2811,98,2,0.0016015,0.00023431556153801134,1,2,10,2887,5.774e-05,5,1,1.0000000000000001e-07,5.784e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1350,237,3,0.000345,0.004354830832000001,0.0006371555615380113,0.000345,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
