memory_system,model_label,scale,prediction_file,eval_file,retrieval_file,status,prediction_lines,prediction_unique,prediction_duplicates,eval_lines,eval_unique,eval_duplicates,retrieval_lines,retrieval_file_exists,retrieval_unique,retrieval_duplicates,joined,prediction_missing_eval,eval_missing_prediction
MemOS-text,Qwen 8B,s_0,predictions_openai_qwen3-8b_s_0.jsonl,predictions_openai_qwen3-8b_s_0.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_0.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 8B,s_1,predictions_openai_qwen3-8b_s_1.jsonl,predictions_openai_qwen3-8b_s_1.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_1.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 8B,s_2,predictions_openai_qwen3-8b_s_2.jsonl,predictions_openai_qwen3-8b_s_2.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_2.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 8B,s_3,predictions_openai_qwen3-8b_s_3.jsonl,predictions_openai_qwen3-8b_s_3.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_3.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 8B,s_4,predictions_openai_qwen3-8b_s_4.jsonl,predictions_openai_qwen3-8b_s_4.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_4.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 32B,s_0,predictions_openai_qwen3-32b_s_0.jsonl,predictions_openai_qwen3-32b_s_0.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-32b_s_0.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 32B,s_1,predictions_openai_qwen3-32b_s_1.jsonl,predictions_openai_qwen3-32b_s_1.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-32b_s_1.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 32B,s_2,predictions_openai_qwen3-32b_s_2.jsonl,predictions_openai_qwen3-32b_s_2.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-32b_s_2.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 32B,s_3,predictions_openai_qwen3-32b_s_3.jsonl,predictions_openai_qwen3-32b_s_3.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-32b_s_3.jsonl,ok,500,500,0,505,500,5,0,1,0,0,500,0,0
MemOS-text,Qwen 32B,s_4,predictions_openai_qwen3-32b_s_4.jsonl,predictions_openai_qwen3-32b_s_4.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-32b_s_4.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 235B,s_0,predictions_openai_qwen3-235b-a22b-instruct-2507_s_0.jsonl,predictions_openai_qwen3-235b-a22b-instruct-2507_s_0.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-235b-a22b-instruct-2507_s_0.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 235B,s_1,predictions_openai_qwen3-235b-a22b-instruct-2507_s_1.jsonl,predictions_openai_qwen3-235b-a22b-instruct-2507_s_1.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-235b-a22b-instruct-2507_s_1.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 235B,s_2,predictions_openai_qwen3-235b-a22b-instruct-2507_s_2.jsonl,predictions_openai_qwen3-235b-a22b-instruct-2507_s_2.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-235b-a22b-instruct-2507_s_2.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 235B,s_3,predictions_openai_qwen3-235b-a22b-instruct-2507_s_3.jsonl,predictions_openai_qwen3-235b-a22b-instruct-2507_s_3.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-235b-a22b-instruct-2507_s_3.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
MemOS-text,Qwen 235B,s_4,predictions_openai_qwen3-235b-a22b-instruct-2507_s_4.jsonl,predictions_openai_qwen3-235b-a22b-instruct-2507_s_4.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-235b-a22b-instruct-2507_s_4.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
Mem0,Qwen 8B,s_0,predictions_openai_qwen3-8b_s_0.jsonl,predictions_openai_qwen3-8b_s_0.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_0.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
Mem0,Qwen 8B,s_1,predictions_openai_qwen3-8b_s_1.jsonl,predictions_openai_qwen3-8b_s_1.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_1.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
Mem0,Qwen 8B,s_2,predictions_openai_qwen3-8b_s_2.jsonl,predictions_openai_qwen3-8b_s_2.eval-results-gpt-4o-mini-2024-07-18.jsonl,retrieval_openai_qwen3-8b_s_2.jsonl,ok,500,500,0,500,500,0,0,1,0,0,500,0,0
