source_package,benchmark,memory_system,scope,model_label,model,s,s_label,dataset_name,task_id,question_type,trial,retrieval_calls,retrieved_sessions,react_steps,success,f1,llm_judge,response_duration_ms,search_duration_ms,total_duration_ms,context_tokens,total_cost_usd,context_ok,source_trace_file,pass_at_b1,budget_exhaustion_b1,wrong_within_budget_b1,failure_mode_b1,pass_at_b2,budget_exhaustion_b2,wrong_within_budget_b2,failure_mode_b2,pass_at_b3,budget_exhaustion_b3,wrong_within_budget_b3,failure_mode_b3,pass_at_b4,budget_exhaustion_b4,wrong_within_budget_b4,failure_mode_b4,pass_at_b5,budget_exhaustion_b5,wrong_within_budget_b5,failure_mode_b5,pass_at_b6,budget_exhaustion_b6,wrong_within_budget_b6,failure_mode_b6
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g03_q0003,locomo_g03_q0003,locomo-multi-hop,1,1,8,2,1,0.0,1,2340.0,8290.0,10630.0,1130,0.001,1,gpt_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g02_q0004,locomo_g02_q0004,locomo-multi-hop,1,1,13,2,0,0.0,0,3770.0,10240.0,14010.0,1180,0.0013,1,gpt_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g04_q0002,locomo_g04_q0002,locomo-multi-hop,1,1,13,2,0,0.0,0,2490.0,8510.0,11000.0,1317,0.0011,1,gpt_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g05_q0001,locomo_g05_q0001,locomo-multi-hop,1,1,14,2,1,0.0,1,3040.0,7360.0,10390.0,1263,0.0013,1,gpt_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g01_q0004,locomo_g01_q0004,locomo-multi-hop,1,5,18,6,0,0.0,0,2790.0,39480.0,42270.0,1814,0.0058,1,gpt_trace_q1_full.csv,0,1,0,budget_exhausted,0,1,0,budget_exhausted,0,1,0,budget_exhausted,0,1,0,budget_exhausted,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g07_q0003,locomo_g07_q0003,locomo-multi-hop,1,1,12,2,0,0.0,0,2510.0,7890.0,10400.0,1091,0.0011,1,gpt_trace_q1_full.csv,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g06_q0003,locomo_g06_q0003,locomo-multi-hop,1,2,16,3,0,0.0,0,2420.0,15400.0,17820.0,1854,0.0023,1,gpt_trace_q1_full.csv,0,1,0,budget_exhausted,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget,0,0,1,wrong_within_budget
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g08_q0002,locomo_g08_q0002,locomo-multi-hop,1,1,11,2,1,0.0,1,1990.0,8250.0,10240.0,1375,0.0011,1,gpt_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g09_q0001,locomo_g09_q0001,locomo-multi-hop,1,1,14,2,1,0.0,1,1710.0,6900.0,8610.0,1346,0.001,1,gpt_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,supplementary_model,GPT-5-mini,gpt-5-mini,0,s0,s000_r01/locomo_multihop/lm_g01_q0005,locomo_g01_q0005,locomo-multi-hop,1,1,13,2,1,0.0,1,2790.0,8170.0,10960.0,1349,0.0012,1,gpt_trace_q1_full.csv,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass,1,0,0,pass
